compound_id,source_table,number_of_experiments,dose_mg_per_kg,lv_dpdt_pct_change,hr_pct_change,map_pct_change,ed50_ug_per_kg,ed50_relation,ed50_error,notes,ed50_censored,active_class,iv_potency_class,curation_status,curation_note
3a,Table VI,5,0.100 ,75,18,-17,52,=,10,,none,moderate,moderate,manual_checked,source values checked against Table VI
3b,Table VI,2,0.300 ,15,4,-5,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3c,Table VI,2,0.100 ,22,11,-15,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3d,Table VI,2,0.300 ,19,3,-12,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3e,Table VI,3,0.100 ,97,27,-27,31,=,14,,none,moderate,moderate,manual_checked,source values checked against Table VI
3f,Table VI,3,0.100 ,60,36,-15,58,=,11,,none,moderate,moderate,manual_checked,source values checked against Table VI
3g,Table VI,2,0.100 ,86,9,-12,32,=,,,none,moderate,moderate,manual_checked,source values checked against Table VI
3h,Table VI,2,0.300 ,26,-1,-10,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3i,Table VI,2,0.300 ,47,6,-8,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3j,Table VI,2,0.300 ,16,4,-3,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3k,Table VI,2,0.300 ,84,26,-9,123,=,,,none,weak,weak,manual_checked,source values checked against Table VI
3l,Table VI,2,0.300 ,12,9,-6,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3m,Table VI,2,0.300 ,43,18,-18,195,=,,,none,weak,weak,manual_checked,source values checked against Table VI
3n,Table VI,3,0.100 ,82,30,-27,33,=,6,,none,moderate,moderate,manual_checked,source values checked against Table VI
3o,Table VI,2,0.100 ,31,19,-8,177,=,,,none,weak,weak,manual_checked,source values checked against Table VI
3p,Table VI,2,0.300 ,57,23,-30,193,=,,,none,weak,weak,manual_checked,source values checked against Table VI
3q,Table VI,2,0.300 ,62,22,-40,27,=,,,none,strong,strong,manual_checked,source values checked against Table VI
3r,Table VI,2,0.300 ,25,8,-10,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3s,Table VI,2,0.300 ,17,11,-7,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
3t,Table VI,2,0.100 ,47,21,-32,91,=,,,none,moderate,moderate,manual_checked,source values checked against Table VI
3u,Table VI,2,0.030 ,86,32,-31,11,=,,,none,strong,strong,manual_checked,source values checked against Table VI
11a,Table VI,6,0.100 ,99,28,-9,23,=,2,E-1020 free base / hydrochloride monohydrate selected later,none,strong,strong,manual_checked,source values checked against Table VI
11b,Table VI,2,0.100 ,131,40,-21,18,=,,,none,strong,strong,manual_checked,source values checked against Table VI
11c,Table VI,2,0.300 ,30,10,-10,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
11d,Table VI,2,0.300 ,57,14,-7,218,=,,,none,weak,weak,manual_checked,source values checked against Table VI
11e,Table VI,2,1.000 ,30,9,-8,1000,>,,,right,weak,weak,manual_checked,source values checked against Table VI
11f,Table VI,2,0.100 ,89,17,-9,52,=,,,none,moderate,moderate,manual_checked,source values checked against Table VI
11g,Table VI,2,0.100 ,24,13,-21,197,=,,,none,weak,weak,manual_checked,source values checked against Table VI
12,Table VI,2,0.300 ,76,12,-13,172,=,,,none,weak,weak,manual_checked,source values checked against Table VI
13,Table VI,2,0.100 ,52,12,-21,87,=,,,none,moderate,moderate,manual_checked,source values checked against Table VI
18,Table VI,2,1.000 ,43,8,1,1000,>,,,right,weak,weak,manual_checked,source values checked against Table VI
23,Table VI,2,1.000 ,25,11,-11,1000,>,,7-yl isomer; weak activity,right,weak,weak,manual_checked,source values checked against Table VI
32a,Table VI,2,0.300 ,5,8,7,300,>,,,right,weak,weak,manual_checked,source values checked against Table VI
32b,Table VI,2,1.000 ,6,3,1,1000,>,,,right,weak,weak,manual_checked,source values checked against Table VI
Milrinone,Table VI,6,0.100 ,98,33,-18,25,=,6,reference drug,none,strong,strong,manual_checked,source values checked against Table VI
